TweetText,SentBy,SenderLocation,SendDate
"@Sedicedemitita This for you, maybe make u feel better!! Potato cakes pasta salad!!! https://t.co/m4001cTNlx",SergioBDchef,"Florida, USA",12/9/20 0:01
"RT @WCKitchen: Getting plated up in Philly: Chile chicken taquitos, baked rice, and a cucumber spinach salad ❤️🍴 WCK’s restaurant partner E…",has_read,,12/9/20 0:01
Chopped salad with a spoon 10/10 https://t.co/aRB1lQR9o2,cannonbrooklynn,"Lafayette, LA",12/9/20 0:01
I want a 🔥 ass salad...,BrownskinnedBee,"Toledo, Oh",12/9/20 0:00
Ever had your salad tossed? — oooo yeaahhh https://t.co/6nAOac4Llq,Misfit_Myke,Uyo,12/9/20 0:00
@RachelLaing I’m O- too and donate as frequently as possible and have marginal iron this last round I had a great k… https://t.co/lydBCrNf4i,stock_jenny,,12/9/20 0:00
green onion in your tuna salad 🤤,RealLexiLou,"Indianapolis, IN",12/9/20 0:00
@Tushy_FNP Ah yes. My TIA was “stress” and I needed to “go home and have a salad”.,bumblebike,Adult Neurology,12/9/20 0:00
"Like, I'm not at all angry with the final score. I'm pissed of at the reasoning for it. Why would someone who doesn… https://t.co/YsfTX9LiXr",amunthesimp,"Night City, California",12/9/20 0:00
That explains Biden. He’s still singing “We’ll Meet Again” and smells like last summer’s egg salad gone bad. https://t.co/t6vRSk7ZCJ,JamesTr22051535,,12/9/20 0:00
"you must always be sweet, kind, loving, attractive. you cannot order more than a salad on a date, and god forbid yo… https://t.co/Dn9mFNakra",TMedicinewoman,"Chicago, IL",12/9/20 0:00
@HylianJayYT @bitch__salad @KatoftheKrew What if I was the demon,quigley_drew,,12/9/20 0:00
"Taco salad with ground beef, jalapeños, the last of my garden’s tomatoes plus roasted corn, red onions and poblano… https://t.co/JOhdLrlLuD",Polly_Nance,"Atlanta, GA",12/9/20 0:00
I will literally eat a salad with EVERY meal for dinner 😂 I buy a big bag and it last me 3 days 🤦🏾‍♀️,Jamaradishea,,12/9/20 0:00
"12/8: mid restriction ig?

abc day 2: 500/500

• pb powder, berries, and almond milk for breakfast (170)
• scallop… https://t.co/wH7Q4FMh5u",coochiekgs,ed tw // non ed dni!! duh! ,12/9/20 0:00
Macaroni salad is severely underrated,MM00520035,"California, USA",12/9/20 0:00
"@RemyAlt @House_of_Jay That line was my favorite. Brian on grill, Ricky on salad, Pete on setup. And Walt back on dishwash.",twooldridge,"North Little Rock, AR",12/9/20 0:00
Y’all ever eaten a salad with a spoon? @cannonbrooklynn says it’s the only way to go. I’m lost. https://t.co/VAYpSSGqKa,nickolasssaige,"Lafayette, LA",12/9/20 0:00
@hodgetwins Amy go comb a salad.,MikeNixon4,,12/9/20 0:00
@FrancisAwartefe @MillwallFC “a show of unity and togetherness towards the fight against discrimination.” How many… https://t.co/74PmJEUn1A,CollFansCare,,12/9/20 0:00
Wow this big fat salad really made me full to the max,jusmeenn,NYC/CA,12/9/20 0:00
Pineapple Summer Salad Recipe - https://t.co/GCoaQucteH https://t.co/GoxFnXnqww,DoesRecipe,The Moon,12/9/20 0:00
@Salad________ NAH NAH ITS FINE I BRING THIS UPON MYSELF DW IM NOT TOXIC LIKE THAT,goldenjjko,she/her bi 19 ,12/9/20 0:00
"""Oooh. It was definitely on? You've done so well this week, there was all that salad.""",wtfbeforeafter,UK,12/9/20 0:00
@yabo1_lilfl0ppy Well at your run of the mill grocer would you purchase crumbled Gorgonzola or crumble bleu cheese… https://t.co/XWiumdRG3B,maggswagger,"Minneapolis, MN",12/9/20 0:00
"#TakeoutTuesday from one of #Winnipeg's best pizza places, Santa Lucia! Pineapple, jalapeno, and feta pizza and the… https://t.co/etIrGz8bf8",dreamfactory47,"Winnipeg, Manitoba",12/8/20 23:59
"RT @WCKitchen: Getting plated up in Philly: Chile chicken taquitos, baked rice, and a cucumber spinach salad ❤️🍴 WCK’s restaurant partner E…",everyonebegreat,,12/8/20 23:59
Fruit in salad just doesn’t hit,VXCEVEGA,Toronto,12/8/20 23:59
This salad bout to be so ittttt! 😋,1realNetta,"Memphis, TN",12/8/20 23:59
"@NZDesign2000 @MatthewJshow @realDonaldTrump Stay in your pond, matey.",idiot_salad,Communist Occupied USA,12/8/20 23:59
yea...this is the best potato salad I've ever tasted and I've tasted a lot. Wow.,VICKY__smalls,"Washington, DC",12/8/20 23:59
"Unless you get it at precisely the right angle, it takes forever to stab a cherry or grape tomato with a fork. *gla… https://t.co/fAHS0R8Mai",Franticpixel,Midwest,12/8/20 23:59
"@bitch__salad @quigley_drew @KatoftheKrew ""Hey! Quit leaving the ouija board out! Put it away when you're done!""",HylianJayYT,Hyrule,12/8/20 23:59
"Given that everyone at this dinner table has only received salad, the probability of any of them receiving steak—mu… https://t.co/ijKu5U0iXV",QuintusHaterius,,12/8/20 23:59
Don’t you just love a nice fresh salad https://t.co/E5asUQsEwY,hooven08,"Texas, USA",12/8/20 23:59
One of the worst feelings in the world has got to be preparing for a party/dinner that no one shows up to. All the… https://t.co/Vg9tWv2wM0,BlueDragonKaise,,12/8/20 23:59
"RT @JoeManganiello: I had an absolute blast talking to @TheJennyCurtis and the @hlywdunscripted podcast about my “acting origin story,” the…",sjoexferro,enmicama ,12/8/20 23:59
"@idiot_salad @EvanAKilgore Have you been to west Texas, the Hill Country of Texas, the hills of east Texas?  Texas… https://t.co/rNADNgfIcu",kimav12,,12/8/20 23:59
"OMAD🕯
Made a ""hot salad"", cooked onion and cabbage, side of greek yogurt and chicken tenderloins. Lil bit of ceaser… https://t.co/wTOygFPYiF",Panty_Christ,,12/8/20 23:59
@ShopeePH Shopee Season + salad ...certified shopee user here!,Getsiben1,,12/8/20 23:59
RT @D_Jayy32: @BlaQNall4 I can’t (and won’t) defend raisins in the potato salad. That should say who I’m defending,BlaQNall4,,12/8/20 23:58
"RT @JPsoFLY: A buzzfeed video about foraging salad promoted by one of the largest oil companies in the world. I am, as they say, “having a…",Mr_GetReal,,12/8/20 23:58
I gotta make me some taco salad this week,nianolong__,sunset blvd,12/8/20 23:58
"Hello! For today's meal, you will have Salad for appetizer, Hot pot for the main, and finishing off with Pie.",Jay71466036,,12/8/20 23:58
@idiot_salad @zackvoell I would say,Kadeo79,"Denver, CO",12/8/20 23:58
@broken_queene You're basically having salad for dinner now. 🤣🤣,wednesday_noir,Ponyville,12/8/20 23:58
@blacklikewho i will eat all the ingredients separately and just hope they become a nice lentil salad in my stomach.,ErinsoroS,"Ithaca, NY",12/8/20 23:58
"why do I genuinely think I’m funny? my humor is my girlfriend with bowls of salad that say “salad, bottom text” and burping",childrenbugs,Lil peep ,12/8/20 23:58
@Kadeo79 @zackvoell Its a good start.,idiot_salad,Communist Occupied USA,12/8/20 23:58
"RT @WCKitchen: Getting plated up in Philly: Chile chicken taquitos, baked rice, and a cucumber spinach salad ❤️🍴 WCK’s restaurant partner E…",Lacus09,"Serenity, NA",12/8/20 23:58
"@mamamorgann that sounds so good! i’m making pan fried chicken thighs, pasta and salad!",BeenKatelynn,,12/8/20 23:58
"I’m going to bumpers soon I get off, I want a salad",rashaeee_liyah,Geonni,12/8/20 23:57
"RT @thatfrood: I had a dream where there was a food called “King’s Hand”, a hollow hand made of m&amp;m cookie, filled with Greek salad.
I coul…",Nokimio1,,12/8/20 23:57
@LillianRhaine Egg salad &amp; homemade vegetable soup! 👏👌👍😁,quineatal,San Francisco Bay Area,12/8/20 23:57
all I ate today was avocado toast and some salad so this drink is hittin different 🥴,giyuuwuu,she/her | 21+,12/8/20 23:57
RT @sammorril: Every night I don't drink during the pandemic feels like ordering a salad at a steak house,Gennefer,"Los Angeles, CA",12/8/20 23:57
"@STU_07 Bruh. Plate was bone dry. I looked down at it ☠️
It looked like all potato salad &amp; he picked out the raisin… https://t.co/obmpcdIoTZ",TheSeasonings2,The ILL!st.😷Land of the Free!,12/8/20 23:57
@ShopeePH Shopee Season + salad ... pretty please😢,Getsiben1,,12/8/20 23:57
@idiot_salad @zackvoell You really have 23?,Kadeo79,"Denver, CO",12/8/20 23:57
@goldenjjko love u mo we jus be playin w u,Salad________,He/Him - 17,12/8/20 23:57
"RT @WCKitchen: Getting plated up in Philly: Chile chicken taquitos, baked rice, and a cucumber spinach salad ❤️🍴 WCK’s restaurant partner E…",Fightkidscancer,United States,12/8/20 23:57
RT @sammorril: Every night I don't drink during the pandemic feels like ordering a salad at a steak house,theboysboppin,Pittsburgh,12/8/20 23:57
"RT @LCHFDetective: Mini Plain Ole Meatloaf, Blue Cheese Bacon Salad, Shishito Peppers, Chanterelle Mushrooms.
https://t.co/T2F5qOhtPy https…",DaveEDanna,"Rock Hill, SC",12/8/20 23:57
@QuietArcher what if i say Salad on accident and you mishear,IIllych,in some woods in texas,12/8/20 23:57
"Middle Eastern Style Spiced Beef Platter over Hummus with Roasted Sweet Potatoes, Beets and Feta,  Mint, Tomato Sal… https://t.co/pdTy5ghILe",Onix1962,"Montreal, Canada",12/8/20 23:57
SHUT UP AND GIVE ME MURDER!! https://t.co/Kke26KhnAV,Pepperoni_Salad,"Victoria, BC",12/8/20 23:57
"@jcreidtx Similar to Alison cook, followed for reviews of cole slaw and potato salad and instead got overrun with p… https://t.co/z8DD7DSBoE",JohnSeger2,,12/8/20 23:57
"RT @WCKitchen: Getting plated up in Philly: Chile chicken taquitos, baked rice, and a cucumber spinach salad ❤️🍴 WCK’s restaurant partner E…",DADDYJOSE,District 5,12/8/20 23:57
"RT @JustAnotherPD: I’ve seen plenty of judges apologize on the record to alleged victims as/after they acquit my clients. 

I’ve never seen…",Salad_and_Cake,"West Virginia, USA",12/8/20 23:57
"@idiot_salad Well Biden did call them ""courageous"" 
https://t.co/PqGSuNFcbw",ArmyOfKaren,The United States of America,12/8/20 23:56
@geezerbutler Can they cure Rat Salad poisoning?,ChrisSc31745429,"South Miami, FL",12/8/20 23:56
i decided on pizza and salad. cause im going hiking tomorrow,stephdemon,hell,12/8/20 23:56
cobb salad from cfa sounds real good rn,kaitlynalexiss3,,12/8/20 23:56
RT @Jujubeannnn_: i wanna good ass salad ..,rashaeee_liyah,Geonni,12/8/20 23:56
"Mini Plain Ole Meatloaf, Blue Cheese Bacon Salad, Shishito Peppers, Chanterelle Mushrooms.
https://t.co/T2F5qOhtPy https://t.co/7op7FzbMGp",LCHFDetective,"Portland, OR",12/8/20 23:56
@_bigpoppa66 @waldrop9tucker YOU LIKE YOUR SALAD TOSSED DALTON,Rolzzzz_,,12/8/20 23:56
RT @fruitblush: give me more of this type of meme https://t.co/Cr9HOyBaUv,shadowy_salad,,12/8/20 23:56
Hungry AF. I see a salmon salad in my immediate future!!,KMurph_,Detroit✖️Westside🐺,12/8/20 23:56
CFA salad would smash rn 🤕,SlickkkRickk,"West Dallas, TX Huntsville, TX",12/8/20 23:56
everything is bad :'D,cervine_salad,,12/8/20 23:56
@ErinsoroS A nice lentil salad.,blacklikewho,,12/8/20 23:56
@ShopeePH Shopee Season + salad ......,Getsiben1,,12/8/20 23:56
"Comfort foods @convivialdc w/ @StonerFoodCrit @inhalingamerica 

Venison Terrine 🦌 
Omelette 🍳 w/ Ham 🐖 &amp; Fries 🍟… https://t.co/aSWXgixdkQ",EpicMouthful,"Seoul, Republic of Korea",12/8/20 23:56
Fried fish with fries &amp; salad,TeranceMomma,,12/8/20 23:56
Next up: Republicans from American Samoa sue because New Jersey election workers did not provide GOP poll watchers… https://t.co/YPdPHLJfnx,MrShuggoth,,12/8/20 23:56
@AUniqueDarkness I’m gonna guess cookie dough and salad,Ghost_w_theMost,🖕🏻,12/8/20 23:56
baked fish &amp; salad for dinner...,kaseyyyyy6,,12/8/20 23:55
"ok idk the context but the emoji tho?? FELT ! DESERVED ! so their friend was so fkn done of sitting there, third wh… https://t.co/UkjOcEyd3y",dearppkrit,fan acc! bkpp!,12/8/20 23:55
@leila8807 @JH10886 @CheerioColdest @JennaEllisEsq one of those states named passed their voting legislation in 201… https://t.co/UokG40AiUM,neer1998,,12/8/20 23:55
@ShopeePH Shopee Season + salad ...I won't give up😊,Getsiben1,,12/8/20 23:55
"RT @WCKitchen: Getting plated up in Philly: Chile chicken taquitos, baked rice, and a cucumber spinach salad ❤️🍴 WCK’s restaurant partner E…",SwingtimeHowqua,,12/8/20 23:55
RT @sammorril: Every night I don't drink during the pandemic feels like ordering a salad at a steak house,TheSinisterSix,"San Francisco, CA",12/8/20 23:55
@StoopidTaaj what’s in that spaghetti salad man? I’m about to make it myself 😭,wedneszay,"Bogota, NJ",12/8/20 23:55
For steak salad:,maggswagger,"Minneapolis, MN",12/8/20 23:55
@RealMrMinion4 i claim 🤡,rblx_salad,,12/8/20 23:55
@2damntrans @MOSound5 @EuanYours @kait_tiffany Your comments are misogynistic narcissistic male word salad.,bats_tex,,12/8/20 23:55
Salad fingers https://t.co/SVc3rr15OA,JaredSeay,"Fort Collins, Colorado.",12/8/20 23:54
@Wendys Expectations vs. Reality. This taco salad was the worst I ever had. https://t.co/zK51I6R5Qi,AnnePensFan,"Pittsburgh, PA",12/8/20 23:54
"I really just made the best salad .. 
Like wow lol  🥗",ravencsimone,Nj based ,12/8/20 23:54
"on my journey to get skinny day 1-
ate a bag of caesar salad for dinner. a whole bag. this healthy lifestyle is not for me. 🤣",taylorbrookeehr,,12/8/20 23:54
"@CEOofLamp he made a salad cookie then he was a bitch bcs someone qrted with ""cw hussie , food"" and then people called him faggot",KingQueerass,🇻🇪/🇨🇴,12/8/20 23:54
This tropical salad is basically a bowl full of veggies united with a beautiful champagne-vinegar dressing! Pomegra… https://t.co/em9lkYekgv,TheHamptonsWA,"Puyallup, WA",12/8/20 23:54
"How to elevate a humble lunchtime favorite? Give it a French twist, of course!

This European take on a chicken-sal… https://t.co/iOtHkiHB48",ArdmrCatesCreek,"Hillsborough, NC",12/8/20 23:54
@ramune_s0da whenever they say do you want a soup or salad i say no,devtwt_,,12/8/20 23:54
Daily nugget https://t.co/oChToHxYSd,cail__salad,"Toronto, Ontario",12/8/20 23:54
"RT @NateBauerBWI: I don’t know if my wife would agree with “fantastic” but I’m certainly OK with it.
Amish Macaroni Salad. 🙌",CoryGiger,"Altoona, PA",12/8/20 23:54
@idiot_salad @1NuclearBible 😂😂 I still believe you should throw your doctorate and degrees out the window and get s… https://t.co/xZn9CXcFMH,mokeyandabandit,USA,12/8/20 23:54
@ShopeePH Shopee Season + salad shopeee baka nemen,Getsiben1,,12/8/20 23:54
"The flavors of a Greek salad are delicious, but we also love the beauty of all the colors in a bowl!

We'll leave y… https://t.co/aTOwniPMHw",Station40Apts,"Nashville, TN",12/8/20 23:53
@footsbalutus @idiot_salad Right there with you https://t.co/bDcbPHus2Q,boobsarrgreat,United States,12/8/20 23:53
"@kayleighmcenany @realDonaldTrump Wow you have a paper, it's prob a word salad",CSuforna,Lake county IL,12/8/20 23:53
Egg salad is chicken salad,basebaIIcrank,,12/8/20 23:53
Salad is better slightly frozen,Aadunham17,Mamas Crib,12/8/20 23:53
RT @Jujubeannnn_: i wanna good ass salad ..,baldyyyykiyy_,,12/8/20 23:53
"RT @_derpydervee: Soup is a drink, don't tell me otherwise",rblx_salad,,12/8/20 23:53
RT @AlbertsStuff: @Roblox @KreekCraft @ItsFunneh @FGteev @Lazarbeam yes i do recognize someone,rblx_salad,,12/8/20 23:52
I love a good salad w Olive Garden light dressing its so good,Cinna_BonBon,"Pittsburgh, PA",12/8/20 23:52
"@lobster_llc Awesome.

How do you like it?

Targetsportsusa has them for $1 per, retail is $2 https://t.co/ejrLPEmHEB",idiot_salad,Communist Occupied USA,12/8/20 23:52
guess we’re eating salad tonight https://t.co/K5d07c7rPo,folkloricaok,kitty town,12/8/20 23:52
"@SaltyCracker9 I think we should be kind, and serve them an all-you-can-eat shit buffet. The buffet will include ma… https://t.co/5sp8q7Es7a",WoodeyMaynard,,12/8/20 23:52
"Hey @panerabread - For the second time, my take out Caesar salad didn’t come with dressing. Is this standard now? Please explain!",gailerlinds,"Kingston, Ontario",12/8/20 23:52
RT @SubZeroExtabyte: @DenisDailyYT IT SO GOOD,rblx_salad,,12/8/20 23:52
@shauna_m_ahern Some simple recipes tucked in along with each item might be nice.  ‘Use this colander to strain pas… https://t.co/KRFOIPin8M,ehecooks,NYC,12/8/20 23:52
Between 2 #SuperSecretSquirrels my #Huntsman sleeps just fine @ night n masv defuckn Nile #SureAsShit CAN stop the… https://t.co/3oSdju244F,UncleIdiot,"Diboll, Texas",12/8/20 23:52
Was left in charge of supper. Made ham salad sandwiches. Please direct me to the nearest Ladies Altar Society meeti… https://t.co/CO1PIBxl1W,PukwanaU,pukwana sd,12/8/20 23:52
RT @Marceline2174: right in front of my salad? https://t.co/X2sTT7I25W,nocreio13,,12/8/20 23:51
this chef salad ain’t do shit but irritate me. lemme go make some damn thotchos,lilratchethippy,The Streets.,12/8/20 23:51
"Shandro's word salad is dizzying.

KISS theory is beyond the UCP.

Keep It Simple Stupid.",KelWoolsey,"Spruce Grove, AB",12/8/20 23:51
RT @brownboybreezy: Bro being toxic is more fun than healthy. Like would you eat a salad or have a full course MEAL from a restaurant,VictoriasPLA,,12/8/20 23:51
@PATRlCKCASEY Bagged Salad from a grocery store.,DistantGroyper,,12/8/20 23:51
RT @jeonboops: on today’s episode of vmin being vmin right in front of joon’s salad JSKSJSKS https://t.co/ot9VpFecmV,KNJMOONCHILD,9/15/18; bts ftw,12/8/20 23:51
@JosephPMatron @FPWellman Annnnnnd..... cue the clowns! https://t.co/LD6STMDCgy,B_Salad_Days,"Brooklyn, NY",12/8/20 23:51
Steak N A Cucumber Salad Sound Good For Din Din https://t.co/2EIiR3De6P,1NOnlyLeyaBabi,My Own Little World,12/8/20 23:51
"8. Salad fingers 1: Spoons
https://t.co/P5mTu4FQ1s",Frnksfrthmemes,Edinburgh,12/8/20 23:50
@idiot_salad @EvanAKilgore Misconception,Hufse01,Ft worth Texas,12/8/20 23:50
lamp she will forever be called dry ass salad girl @Jaxxson0419  💀 https://t.co/lifHEDj58p,notyour_taylor,they/she,12/8/20 23:50
I love me a good Caesar salad omg,AlmightySelma,🇱🇷🇬🇭🇱🇧 ,12/8/20 23:50
"Try https://t.co/lo3ogIDJX4 All-You-Can-Eat Soup, Salad and Fruit Bar #Soup #menu",foodpages,Canada,12/8/20 23:50
RT @sammorril: Every night I don't drink during the pandemic feels like ordering a salad at a steak house,InconvenienceMe,Chicago,12/8/20 23:50
@AaronSJCA THAT I could do absolutely no problem,Pepperoni_Salad,"Victoria, BC",12/8/20 23:50
Super Immunity Salad Dressing https://t.co/yQEibCUPQF,Zafirah1,"Wilmington, Delaware",12/8/20 23:50
RT @TURF_5HYT: @muvaaprincess Ppl Put Raisins in Potato Salad,muvaaprincess,TX,12/8/20 23:50
RT @brownboybreezy: Bro being toxic is more fun than healthy. Like would you eat a salad or have a full course MEAL from a restaurant,zyibzr,🇬🇧,12/8/20 23:50
"@mokeyandabandit @1NuclearBible Fasting is rather useful indeed, but as my cheapskate uncle Shlomo learned when he… https://t.co/EyOHLIziN3",idiot_salad,Communist Occupied USA,12/8/20 23:50
"I don’t know if my wife would agree with “fantastic” but I’m certainly OK with it.
Amish Macaroni Salad. 🙌 https://t.co/orrwUXUWrY",NateBauerBWI,"State College, PA",12/8/20 23:50
I want a salad.,obeythequeen__,,12/8/20 23:50
I forgot to get me a salad from 5 point while I was in Palatka today ! 😩 it’s okay cus I’m on their ass Fridayyyy ! 🤗😂,ImWhoDeyLike,"Jacksonville, FL✨",12/8/20 23:50
"Linguini w/ Argentinian Shrimp and Chicken sausage, Caesar salad and drink champs and rum!

#slonyoullknow https://t.co/xnw0dSNBJH",officialbriefTM,"Flint, MI",12/8/20 23:50
"RT @thatfrood: I had a dream where there was a food called “King’s Hand”, a hollow hand made of m&amp;m cookie, filled with Greek salad.
I coul…",wnfeliz,Aquí,12/8/20 23:50
"It's not beautiful plating, but this is sooo good. I had a leftover chicken breast in the fridge that needed cookin… https://t.co/YbYWaoNRTa",DMThisIsPam,"Scranton, PA",12/8/20 23:50
normalize eating cereal like salad,swakesis,naw,12/8/20 23:50
RT @brownboybreezy: Bro being toxic is more fun than healthy. Like would you eat a salad or have a full course MEAL from a restaurant,boredntired34,U wish u knew😏,12/8/20 23:49
Ya ever just have strong feelings about pasta salad? https://t.co/QBOjBraXwd,MidwesternMa,,12/8/20 23:49
@phresh585 I’m bout to eat some taco salad 🥳🤣,Flawed_Beautie,La La Land🙄,12/8/20 23:49
Check out 4 Jade Leaf Shaped Salad Plates Green Ceramic Dessert Cookin the American Way #ArtDeco https://t.co/BAalTNZP4u via @eBay,ricks_soph,United States,12/8/20 23:49
RT @brownboybreezy: Bro being toxic is more fun than healthy. Like would you eat a salad or have a full course MEAL from a restaurant,bootleghadji,🇬🇾🇵🇰,12/8/20 23:49
@tiedyesteve_com So....the potato salad isn’t gluten free then....??? https://t.co/2oEVvjnVfd,HumpDayHashTags,ThighLand ,12/8/20 23:49
@swimmerbr78 My brain is a salad now.,NeerIlin,"Burnaby, British Columbia",12/8/20 23:49
I ate a salad instead of a cheeseburger 🍔 I should be applauding myself but I still want the cheeseburger. https://t.co/8VqjjQfpq6,Tazmasta57,None of Your Concern ,12/8/20 23:49
I need some of my mother in law chicken salad 😩,KSKMOM7,Gbaby & NiLoc World ✨,12/8/20 23:49
Bro being toxic is more fun than healthy. Like would you eat a salad or have a full course MEAL from a restaurant,brownboybreezy,,12/8/20 23:49
I want a cheeseburger salad but I don’t have any pickles 😒,WHOSAIDTHATTTT,"Bay Area, CA",12/8/20 23:49
@idiot_salad I’ve got one of those! Luckily I bulked up on ammo years ago... don’t even know what they go for a round now!,lobster_llc,Maine,12/8/20 23:49
RT @JustTeesa: Them! https://t.co/nRYYQ5q8IF,rblx_salad,,12/8/20 23:49
RT @dr_wumba: Hey all! I will be streaming tomorrow evening. A little last minute but turns out I don’t work tomorrow. We’ll be continuing…,toallyabsolute,,12/8/20 23:48
@WFPremo its the salad’s fault!,TheJackalopeTX,"SATX, formerly EPTX",12/8/20 23:48
Why do people put onion in there potato salad I could die,Paige8932,,12/8/20 23:48
Taco Salad Night for Taco Tuesday #TacoTuesday https://t.co/8eNQlUiyHu,HoneybeeReese,"Youngstown, OH",12/8/20 23:48
Just made some salmon in the air fryer for this salmon salad. Just know ya girl is about to smash 😋,Tasty_Tots,The Far East...near Asia ,12/8/20 23:48
"RT @notwhouthinkare: ooohhh Hyunsoo-ex manager-nim will finally open his restaurant (12/14) 🥗😃

Namjoo : what kind of store is it?
Hyunsoo…",rongkp,ꌅꃳ,12/8/20 23:48
"jin said: right in front of my salad, really? https://t.co/goEHhDJmky",frankoceanhyung,United States,12/8/20 23:48
"I tried a dill red potato salad recipe yesterday. The texture was *perfectly* creamy. But, the flavor? Bland, even… https://t.co/Htm4tlekuY",VICKY__smalls,"Washington, DC",12/8/20 23:48
briefly interrupting my studying to tell y'all that the new Organic Sweet &amp; Spicy Mustard Sauce from TJ's is a game… https://t.co/H4UwvQpIx4,VICKY__smalls,"Washington, DC",12/8/20 23:48
RT @NNegr6: @Tendin2 Load baked potato and a salad,Tendin2,Sheltered In Place ,12/8/20 23:48
@Tendin2 Load baked potato and a salad,NNegr6,,12/8/20 23:47
@bikerpool @Nigel_Farage Yet another word salad from old Nige.,EUsouEuropa,"Leeds, West Yorkshire",12/8/20 23:47
"@Heather_duh i think it was a decade ago i heard Britain was a country of snacking, its our kryptonite.

i stave it… https://t.co/9zEr9MFAUc",DudeFantasm,Good question,12/8/20 23:47
"@CoryGiger @NateBauerBWI Yes, definitely a difference! Hubs won’t use anything but Mayo; the opposite for me. Mirac… https://t.co/ZqfAX5THtQ",sheilamccyoung,,12/8/20 23:47
@tntdrama I miss the 2 main courses but not the side salad. #WinchestersForever,SingingValkarie,,12/8/20 23:47
This salad from Piada was definitely a highlight for today 😋,kiss_mytiara2,Akron,12/8/20 23:47
Master Sonicsilly can't use their Penetration Salad Relay to run away from God.,SuperFightBot,,12/8/20 23:47
@HylianJayYT @quigley_drew @KatoftheKrew Catch me at 1A.M. summoning demons,bitch__salad,,12/8/20 23:46
WOW! A CAKE!,salad_bot98,@tomodachilife,12/8/20 23:46
i wanna good ass salad ..,Jujubeannnn_,👩‍👦 .. ,12/8/20 23:46
I like salad,sleepyblkgirl,she/they/sleepy/neptune/,12/8/20 23:46
@starmagicsoul Making salad,degvusser,,12/8/20 23:46
Jerk chicken strip baskets &amp; Cesar salad for dinner 🍽,Can_onlybM_E,underwater 2:09♒️,12/8/20 23:46
"RT @FreedomEagleAB: If you're waiting for an actual announcement, you'll have to wait while Kenney pleads with his nutter base and vomits w…",JulieYAli,,12/8/20 23:46
"@idiot_salad @1NuclearBible 👍🏻 imo-denial, fasting etc. can be very positive, Focusing your mind and spirit on God… https://t.co/8sNJ4HUsOX",mokeyandabandit,USA,12/8/20 23:46
RT @BelongsToBoston: When men as a whole lower the propensity for abuse against women. We can revisit this. I don’t care about anecdotal wo…,notawethang,,12/8/20 23:46
"god, i love salad https://t.co/9zIxzC5gDy",HarryModN,,12/8/20 23:46
